X,Y,WindField,speed,heading,dx,dy,ratio,style_css,direction
79.9831750756057,11.2112379771796,wind_0,5.0,171.1531527298748,-14.45,-332.69,0.95,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-177.512988136165
80.07295729951,11.2290514460988,wind_1,6.0,183.6232171036908,-87.34,-321.34,0.86,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-164.794378792189
80.9713469968007,11.4056657190068,wind_10,5.2,330.5705992008197,-106.58,315.48,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-18.6667380474291
79.8916673689354,11.661311073591,wind_100,14.6,183.98480113239037,-89.39,-320.78,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-164.428733433976
80.1614985391112,11.7145421746508,wind_101,8.2,197.84223795644553,-164.47,-289.55,0.74,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-150.402587149491
80.0715431258318,11.6968275890669,wind_102,8.2,192.2929334247662,-135.39,-304.24,0.83,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-156.010432966431
79.9815969339957,11.6790861307824,wind_103,9.4,189.59884438925815,-120.82,-310.31,0.71,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-158.726420526571
79.8017494843673,11.6435080794447,wind_104,3.4,343.12981154984516,-33.51,331.31,0.89,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-5.77547996671496
80.3414382749976,11.7498927051053,wind_105,6.5,215.480620541516,-244.8,-225.74,0.79,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-132.680407901104
80.25146324928,11.7322304757376,wind_106,8.6,204.7578477830353,-198.38,-267.46,0.82,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-143.434992391828
80.4314276795104,11.7675247496601,wind_107,8.5,232.70109801426395,-300.42,-143.66,0.78,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-115.556995751268
